#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.158026E+00   0.128284E+07   0.127452E+07   0.133517E+01  -0.172891E+01   0.505774E+05   0.127562E+07   0.128144E+07   0.127562E+07  -0.287923E-01   0.625068E+06   0.624971E+06   0.204147E+00
   0.163158E+00   0.123090E+07   0.122312E+07   0.120178E+01  -0.155625E+01   0.462064E+05   0.122399E+07   0.122959E+07   0.122399E+07  -0.276270E-01   0.599774E+06   0.599684E+06   0.184720E+00
   0.168291E+00   0.118872E+07   0.118171E+07   0.109095E+01  -0.141276E+01   0.425410E+05   0.118213E+07   0.118754E+07   0.118213E+07  -0.266820E-01   0.579260E+06   0.579177E+06   0.163519E+00
   0.173423E+00   0.115272E+07   0.114655E+07   0.996316E+00  -0.129022E+01   0.393748E+05   0.114642E+07   0.115169E+07   0.114642E+07  -0.258762E-01   0.561767E+06   0.561693E+06   0.143391E+00
   0.178556E+00   0.111930E+07   0.111386E+07   0.912687E+00  -0.118194E+01   0.365331E+05   0.111327E+07   0.111839E+07   0.111327E+07  -0.251279E-01   0.545523E+06   0.545455E+06   0.126590E+00
   0.183689E+00   0.108519E+07   0.108028E+07   0.836151E+00  -0.108285E+01   0.338794E+05   0.107940E+07   0.108437E+07   0.107940E+07  -0.243633E-01   0.528926E+06   0.528863E+06   0.114286E+00
   0.188821E+00   0.104835E+07   0.104371E+07   0.764439E+00  -0.990013E+00   0.313361E+05   0.104276E+07   0.104757E+07   0.104276E+07  -0.235363E-01   0.510973E+06   0.510913E+06   0.106488E+00
   0.193954E+00   0.100863E+07   0.100403E+07   0.697025E+00  -0.902755E+00   0.288921E+05   0.100322E+07   0.100785E+07   0.100322E+07  -0.226439E-01   0.491601E+06   0.491542E+06   0.102283E+00
   0.199086E+00   0.967412E+06   0.962709E+06   0.634457E+00  -0.821772E+00   0.265802E+05   0.962174E+06   0.966622E+06   0.962174E+06  -0.217174E-01   0.471489E+06   0.471429E+06   0.100230E+00
   0.204219E+00   0.926594E+06   0.921727E+06   0.577462E+00  -0.747999E+00   0.244403E+05   0.921512E+06   0.925777E+06   0.921512E+06  -0.207996E-01   0.451565E+06   0.451505E+06   0.987877E-01
   0.209351E+00   0.887994E+06   0.883001E+06   0.526548E+00  -0.682092E+00   0.225042E+05   0.883064E+06   0.887156E+06   0.883064E+06  -0.199318E-01   0.432727E+06   0.432666E+06   0.967054E-01
   0.214484E+00   0.853134E+06   0.848120E+06   0.481919E+00  -0.624310E+00   0.207904E+05   0.848357E+06   0.852292E+06   0.848357E+06  -0.191484E-01   0.415720E+06   0.415660E+06   0.932658E-01
   0.219616E+00   0.822892E+06   0.817991E+06   0.443348E+00  -0.574361E+00   0.192987E+05   0.818270E+06   0.822069E+06   0.818270E+06  -0.184694E-01   0.400978E+06   0.400920E+06   0.883437E-01
   0.224749E+00   0.797204E+06   0.792535E+06   0.410118E+00  -0.531321E+00   0.180065E+05   0.792736E+06   0.796420E+06   0.792736E+06  -0.178930E-01   0.388466E+06   0.388411E+06   0.822986E-01
