#    L    TT             EE             BB             TE          
   354   0.232107E+04   0.181499E+02   0.633414E-03   0.830564E+02
   355   0.229755E+04   0.182874E+02   0.631042E-03   0.815554E+02
   356   0.227438E+04   0.184227E+02   0.628881E-03   0.800395E+02
   357   0.225159E+04   0.185551E+02   0.626924E-03   0.784939E+02
   358   0.222923E+04   0.186839E+02   0.625163E-03   0.769335E+02
   359   0.220716E+04   0.188104E+02   0.623593E-03   0.753434E+02
   360   0.218554E+04   0.189349E+02   0.622206E-03   0.737347E+02
   361   0.216427E+04   0.190564E+02   0.620995E-03   0.721029E+02
   362   0.214345E+04   0.191750E+02   0.619953E-03   0.704511E+02
   363   0.212299E+04   0.192914E+02   0.619073E-03   0.687814E+02
   364   0.210297E+04   0.194035E+02   0.618349E-03   0.670901E+02
   365   0.208332E+04   0.195134E+02   0.617772E-03   0.653831E+02
   366   0.206410E+04   0.196203E+02   0.617337E-03   0.636575E+02
   367   0.204533E+04   0.197229E+02   0.617036E-03   0.619155E+02
   368   0.202684E+04   0.198234E+02   0.616863E-03   0.601584E+02
   369   0.200895E+04   0.199209E+02   0.616810E-03   0.583842E+02
   370   0.199142E+04   0.200147E+02   0.616871E-03   0.565980E+02
   371   0.197426E+04   0.201050E+02   0.617038E-03   0.547960E+02
   372   0.195754E+04   0.201923E+02   0.617304E-03   0.529828E+02
   373   0.194125E+04   0.202760E+02   0.617664E-03   0.511552E+02
   374   0.192541E+04   0.203567E+02   0.618109E-03   0.493171E+02
   375   0.190994E+04   0.204339E+02   0.618632E-03   0.474683E+02
   376   0.189498E+04   0.205081E+02   0.619227E-03   0.456090E+02
   377   0.188046E+04   0.205779E+02   0.619887E-03   0.437421E+02
   378   0.186631E+04   0.206441E+02   0.620605E-03   0.418645E+02
   379   0.185260E+04   0.207074E+02   0.621374E-03   0.399807E+02
   380   0.183941E+04   0.207678E+02   0.622186E-03   0.380885E+02
   381   0.182658E+04   0.208216E+02   0.623036E-03   0.361908E+02
   382   0.181412E+04   0.208740E+02   0.623915E-03   0.342884E+02
   383   0.180218E+04   0.209220E+02   0.624818E-03   0.323797E+02
   384   0.179075E+04   0.209656E+02   0.625736E-03   0.304686E+02
   385   0.177962E+04   0.210070E+02   0.626664E-03   0.285534E+02
   386   0.176901E+04   0.210441E+02   0.627594E-03   0.266363E+02
   387   0.175876E+04   0.210768E+02   0.628519E-03   0.247175E+02
   388   0.174895E+04   0.211059E+02   0.629432E-03   0.227983E+02
   389   0.173959E+04   0.211291E+02   0.630327E-03   0.208787E+02
   390   0.173067E+04   0.211516E+02   0.631196E-03   0.189610E+02
   391   0.172219E+04   0.211690E+02   0.632032E-03   0.170437E+02
   392   0.171408E+04   0.211842E+02   0.632828E-03   0.151296E+02
   393   0.170649E+04   0.211944E+02   0.633578E-03   0.132181E+02
   394   0.169927E+04   0.212009E+02   0.634275E-03   0.113114E+02
