#    L    TT             EE             BB             TE             PP             TP             EP          
    98   0.258699E+04   0.713949E+00   0.601827E-02  -0.215265E+02   0.953088E-07   0.395719E-03  -0.951710E-06
    99   0.261695E+04   0.728044E+00   0.599020E-02  -0.221574E+02   0.946836E-07   0.390824E-03  -0.925038E-06
   100   0.264719E+04   0.742002E+00   0.595978E-02  -0.227872E+02   0.940622E-07   0.386034E-03  -0.893930E-06
   101   0.267758E+04   0.755885E+00   0.592707E-02  -0.234189E+02   0.934447E-07   0.381347E-03  -0.859362E-06
   102   0.270850E+04   0.769544E+00   0.589211E-02  -0.240504E+02   0.928311E-07   0.376755E-03  -0.822309E-06
   103   0.273933E+04   0.783055E+00   0.585498E-02  -0.246823E+02   0.922215E-07   0.372255E-03  -0.783745E-06
   104   0.277039E+04   0.796417E+00   0.581573E-02  -0.253118E+02   0.916158E-07   0.367843E-03  -0.744644E-06
   105   0.280160E+04   0.809558E+00   0.577442E-02  -0.259404E+02   0.910143E-07   0.363513E-03  -0.705981E-06
   106   0.283304E+04   0.822552E+00   0.573112E-02  -0.265673E+02   0.904168E-07   0.359260E-03  -0.668727E-06
   107   0.286441E+04   0.835252E+00   0.568587E-02  -0.271912E+02   0.898235E-07   0.355080E-03  -0.633856E-06
   108   0.289615E+04   0.847733E+00   0.563875E-02  -0.278128E+02   0.892344E-07   0.350968E-03  -0.602340E-06
   109   0.292804E+04   0.859920E+00   0.558980E-02  -0.284307E+02   0.886496E-07   0.346920E-03  -0.575150E-06
   110   0.296002E+04   0.871816E+00   0.553909E-02  -0.290435E+02   0.880691E-07   0.342930E-03  -0.553257E-06
   111   0.299214E+04   0.883495E+00   0.548668E-02  -0.296525E+02   0.874929E-07   0.338995E-03  -0.537393E-06
   112   0.302443E+04   0.894883E+00   0.543265E-02  -0.302572E+02   0.869211E-07   0.335114E-03  -0.527334E-06
   113   0.305694E+04   0.905980E+00   0.537707E-02  -0.308560E+02   0.863536E-07   0.331287E-03  -0.522616E-06
   114   0.308953E+04   0.916713E+00   0.532002E-02  -0.314481E+02   0.857905E-07   0.327514E-03  -0.522776E-06
   115   0.312234E+04   0.927230E+00   0.526156E-02  -0.320335E+02   0.852317E-07   0.323795E-03  -0.527353E-06
   116   0.315516E+04   0.937310E+00   0.520179E-02  -0.326115E+02   0.846772E-07   0.320129E-03  -0.535883E-06
   117   0.318827E+04   0.947026E+00   0.514077E-02  -0.331813E+02   0.841270E-07   0.316518E-03  -0.547904E-06
   118   0.322154E+04   0.956527E+00   0.507858E-02  -0.337436E+02   0.835811E-07   0.312960E-03  -0.562955E-06
   119   0.325479E+04   0.965666E+00   0.501530E-02  -0.342963E+02   0.830396E-07   0.309457E-03  -0.580573E-06
   120   0.328820E+04   0.974294E+00   0.495101E-02  -0.348392E+02   0.825022E-07   0.306007E-03  -0.600298E-06
   121   0.332160E+04   0.982709E+00   0.488577E-02  -0.353725E+02   0.819692E-07   0.302611E-03  -0.621667E-06
   122   0.335507E+04   0.990614E+00   0.481967E-02  -0.358952E+02   0.814404E-07   0.299269E-03  -0.644221E-06
   123   0.338861E+04   0.998083E+00   0.475278E-02  -0.364074E+02   0.809158E-07   0.295981E-03  -0.667498E-06
   124   0.342222E+04   0.100519E+01   0.468518E-02  -0.369062E+02   0.803956E-07   0.292747E-03  -0.691038E-06
   125   0.345581E+04   0.101187E+01   0.461694E-02  -0.373937E+02   0.798795E-07   0.289567E-03  -0.714380E-06
   126   0.348948E+04   0.101818E+01   0.454814E-02  -0.378691E+02   0.793677E-07   0.286441E-03  -0.737063E-06
   127   0.352313E+04   0.102398E+01   0.447886E-02  -0.383318E+02   0.788601E-07   0.283369E-03  -0.758629E-06
   128   0.355677E+04   0.102943E+01   0.440917E-02  -0.387810E+02   0.783567E-07   0.280351E-03  -0.778616E-06
   129   0.359047E+04   0.103437E+01   0.433915E-02  -0.392158E+02   0.778576E-07   0.277387E-03  -0.796566E-06
