#    L    TT             EE             TE             PP             TP          
   266   0.497942E+04   0.386364E+01   0.865201E+02   0.174825E+07   0.141403E+04
   267   0.495434E+04   0.397896E+01   0.878435E+02   0.174085E+07   0.140201E+04
   268   0.492889E+04   0.409662E+01   0.891523E+02   0.173349E+07   0.139009E+04
   269   0.490292E+04   0.421631E+01   0.904391E+02   0.172618E+07   0.137825E+04
   270   0.487673E+04   0.433812E+01   0.917039E+02   0.171893E+07   0.136651E+04
   271   0.485009E+04   0.446197E+01   0.929467E+02   0.171172E+07   0.135485E+04
   272   0.482323E+04   0.458816E+01   0.941601E+02   0.170456E+07   0.134329E+04
   273   0.479593E+04   0.471610E+01   0.953590E+02   0.169745E+07   0.133181E+04
   274   0.476833E+04   0.484638E+01   0.965211E+02   0.169039E+07   0.132042E+04
   275   0.474035E+04   0.497848E+01   0.976687E+02   0.168337E+07   0.130912E+04
   276   0.471216E+04   0.511262E+01   0.987795E+02   0.167640E+07   0.129790E+04
   277   0.468352E+04   0.524881E+01   0.998759E+02   0.166948E+07   0.128677E+04
   278   0.465466E+04   0.538696E+01   0.100935E+03   0.166261E+07   0.127572E+04
   279   0.462550E+04   0.552702E+01   0.101966E+03   0.165578E+07   0.126475E+04
   280   0.459605E+04   0.566898E+01   0.102982E+03   0.164899E+07   0.125387E+04
   281   0.456645E+04   0.581290E+01   0.103961E+03   0.164225E+07   0.124306E+04
   282   0.453640E+04   0.595851E+01   0.104911E+03   0.163556E+07   0.123234E+04
   283   0.450620E+04   0.610602E+01   0.105831E+03   0.162890E+07   0.122169E+04
   284   0.447579E+04   0.625535E+01   0.106722E+03   0.162229E+07   0.121112E+04
   285   0.444515E+04   0.640651E+01   0.107585E+03   0.161573E+07   0.120063E+04
   286   0.441422E+04   0.655934E+01   0.108410E+03   0.160920E+07   0.119021E+04
   287   0.438306E+04   0.671386E+01   0.109214E+03   0.160272E+07   0.117987E+04
   288   0.435176E+04   0.687006E+01   0.109981E+03   0.159628E+07   0.116960E+04
   289   0.432023E+04   0.702787E+01   0.110719E+03   0.158988E+07   0.115941E+04
   290   0.428856E+04   0.718713E+01   0.111427E+03   0.158352E+07   0.114929E+04
   291   0.425674E+04   0.734860E+01   0.112092E+03   0.157720E+07   0.113924E+04
   292   0.422448E+04   0.751115E+01   0.112735E+03   0.157093E+07   0.112925E+04
