#    L    TT             EE             BB             TE          
   176   0.501868E+04   0.812557E+00   0.892123E-02  -0.363151E+02
   177   0.504229E+04   0.802374E+00   0.903529E-02  -0.356634E+02
   178   0.506543E+04   0.792431E+00   0.915022E-02  -0.349847E+02
   179   0.508812E+04   0.782433E+00   0.926600E-02  -0.342790E+02
   180   0.511050E+04   0.772600E+00   0.938262E-02  -0.335478E+02
   181   0.513235E+04   0.762931E+00   0.950008E-02  -0.327911E+02
   182   0.515374E+04   0.753501E+00   0.961838E-02  -0.320074E+02
   183   0.517461E+04   0.744234E+00   0.973750E-02  -0.311982E+02
   184   0.519509E+04   0.735204E+00   0.985744E-02  -0.303629E+02
   185   0.521512E+04   0.726558E+00   0.997819E-02  -0.295035E+02
   186   0.523433E+04   0.718154E+00   0.100997E-01  -0.286172E+02
   187   0.525339E+04   0.710133E+00   0.102221E-01  -0.277054E+02
   188   0.527192E+04   0.702479E+00   0.103452E-01  -0.267697E+02
   189   0.528986E+04   0.695228E+00   0.104691E-01  -0.258086E+02
   190   0.530765E+04   0.688432E+00   0.105938E-01  -0.248242E+02
   191   0.532454E+04   0.682111E+00   0.107193E-01  -0.238137E+02
   192   0.534106E+04   0.676287E+00   0.108455E-01  -0.227792E+02
   193   0.535699E+04   0.671004E+00   0.109725E-01  -0.217223E+02
   194   0.537254E+04   0.666291E+00   0.111001E-01  -0.206408E+02
   195   0.538751E+04   0.662183E+00   0.112286E-01  -0.195368E+02
   196   0.540188E+04   0.658718E+00   0.113577E-01  -0.184096E+02
   197   0.541582E+04   0.655939E+00   0.114875E-01  -0.172608E+02
   198   0.542924E+04   0.653866E+00   0.116181E-01  -0.160896E+02
   199   0.544214E+04   0.652537E+00   0.117493E-01  -0.148967E+02
   200   0.545453E+04   0.651979E+00   0.118813E-01  -0.136829E+02
   201   0.546634E+04   0.652253E+00   0.120139E-01  -0.124475E+02
   202   0.547763E+04   0.653363E+00   0.121471E-01  -0.111919E+02
   203   0.548834E+04   0.655368E+00   0.122810E-01  -0.991539E+01
   204   0.549838E+04   0.658289E+00   0.124156E-01  -0.862093E+01
   205   0.550792E+04   0.662171E+00   0.125508E-01  -0.730628E+01
   206   0.551679E+04   0.667048E+00   0.126866E-01  -0.597269E+01
   207   0.552515E+04   0.672942E+00   0.128230E-01  -0.462061E+01
   208   0.553278E+04   0.679904E+00   0.129600E-01  -0.325054E+01
   209   0.553981E+04   0.687955E+00   0.130976E-01  -0.186285E+01
   210   0.554626E+04   0.697146E+00   0.132358E-01  -0.458416E+00
   211   0.555213E+04   0.707505E+00   0.133746E-01   0.962706E+00
   212   0.555726E+04   0.719061E+00   0.135139E-01   0.239959E+01
   213   0.556187E+04   0.731857E+00   0.136537E-01   0.385229E+01
   214   0.556582E+04   0.745885E+00   0.137941E-01   0.531961E+01
   215   0.556919E+04   0.761337E+00   0.139351E-01   0.680082E+01
   216   0.557189E+04   0.778025E+00   0.140765E-01   0.829645E+01
   217   0.557409E+04   0.796105E+00   0.142184E-01   0.980450E+01
   218   0.557561E+04   0.815575E+00   0.143608E-01   0.113252E+02
   219   0.557655E+04   0.836434E+00   0.145037E-01   0.128595E+02
   220   0.557691E+04   0.858829E+00   0.146470E-01   0.144030E+02
   221   0.557667E+04   0.882685E+00   0.147908E-01   0.159580E+02
   222   0.557585E+04   0.908149E+00   0.149350E-01   0.175229E+02
   223   0.557429E+04   0.935145E+00   0.150797E-01   0.190984E+02
   224   0.557229E+04   0.963673E+00   0.152247E-01   0.206810E+02
   225   0.556963E+04   0.993879E+00   0.153701E-01   0.222736E+02
   226   0.556638E+04   0.102576E+01   0.155159E-01   0.238724E+02
   227   0.556246E+04   0.105932E+01   0.156620E-01   0.254790E+02
   228   0.555804E+04   0.109456E+01   0.158085E-01   0.270919E+02
   229   0.555302E+04   0.113154E+01   0.159552E-01   0.287096E+02
