#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    97   0.254708E+04  -0.206598E+02   0.400721E-03  -0.206598E+02   0.690567E+00  -0.973469E-06   0.400721E-03  -0.973469E-06   0.959373E-07
    98   0.257729E+04  -0.212905E+02   0.395714E-03  -0.212905E+02   0.704774E+00  -0.952260E-06   0.395714E-03  -0.952260E-06   0.953083E-07
    99   0.260756E+04  -0.219246E+02   0.390819E-03  -0.219246E+02   0.718848E+00  -0.925622E-06   0.390819E-03  -0.925622E-06   0.946831E-07
   100   0.263811E+04  -0.225577E+02   0.386029E-03  -0.225577E+02   0.732790E+00  -0.894532E-06   0.386029E-03  -0.894532E-06   0.940617E-07
   101   0.266881E+04  -0.231928E+02   0.381341E-03  -0.231928E+02   0.746659E+00  -0.859964E-06   0.381341E-03  -0.859964E-06   0.934442E-07
   102   0.270002E+04  -0.238277E+02   0.376750E-03  -0.238277E+02   0.760308E+00  -0.822894E-06   0.376750E-03  -0.822894E-06   0.928306E-07
   103   0.273115E+04  -0.244631E+02   0.372251E-03  -0.244631E+02   0.773812E+00  -0.784296E-06   0.372251E-03  -0.784296E-06   0.922210E-07
   104   0.276250E+04  -0.250963E+02   0.367839E-03  -0.250963E+02   0.787171E+00  -0.745146E-06   0.367839E-03  -0.745146E-06   0.916155E-07
   105   0.279399E+04  -0.257285E+02   0.363509E-03  -0.257285E+02   0.800312E+00  -0.706419E-06   0.363509E-03  -0.706419E-06   0.910140E-07
   106   0.282571E+04  -0.263593E+02   0.359257E-03  -0.263593E+02   0.813310E+00  -0.669090E-06   0.359257E-03  -0.669090E-06   0.904166E-07
   107   0.285734E+04  -0.269870E+02   0.355078E-03  -0.269870E+02   0.826017E+00  -0.634134E-06   0.355078E-03  -0.634134E-06   0.898233E-07
   108   0.288934E+04  -0.276125E+02   0.350967E-03  -0.276125E+02   0.838508E+00  -0.602527E-06   0.350967E-03  -0.602527E-06   0.892343E-07
   109   0.292150E+04  -0.282343E+02   0.346919E-03  -0.282343E+02   0.850709E+00  -0.575243E-06   0.346919E-03  -0.575243E-06   0.886495E-07
   110   0.295372E+04  -0.288511E+02   0.342930E-03  -0.288511E+02   0.862622E+00  -0.553257E-06   0.342930E-03  -0.553257E-06   0.880691E-07
   111   0.298610E+04  -0.294642E+02   0.338996E-03  -0.294642E+02   0.874322E+00  -0.537305E-06   0.338996E-03  -0.537305E-06   0.874929E-07
   112   0.301862E+04  -0.300729E+02   0.335115E-03  -0.300729E+02   0.885733E+00  -0.527166E-06   0.335115E-03  -0.527166E-06   0.869211E-07
   113   0.305136E+04  -0.306758E+02   0.331288E-03  -0.306758E+02   0.896858E+00  -0.522376E-06   0.331288E-03  -0.522376E-06   0.863537E-07
   114   0.308418E+04  -0.312720E+02   0.327515E-03  -0.312720E+02   0.907621E+00  -0.522475E-06   0.327515E-03  -0.522475E-06   0.857905E-07
   115   0.311721E+04  -0.318616E+02   0.323796E-03  -0.318616E+02   0.918172E+00  -0.527000E-06   0.323796E-03  -0.527000E-06   0.852317E-07
   116   0.315024E+04  -0.324438E+02   0.320131E-03  -0.324438E+02   0.928288E+00  -0.535489E-06   0.320131E-03  -0.535489E-06   0.846772E-07
   117   0.318356E+04  -0.330178E+02   0.316519E-03  -0.330178E+02   0.938043E+00  -0.547482E-06   0.316519E-03  -0.547482E-06   0.841270E-07
   118   0.321703E+04  -0.335843E+02   0.312962E-03  -0.335843E+02   0.947588E+00  -0.562515E-06   0.312962E-03  -0.562515E-06   0.835811E-07
   119   0.325048E+04  -0.341412E+02   0.309458E-03  -0.341412E+02   0.956772E+00  -0.580128E-06   0.309458E-03  -0.580128E-06   0.830395E-07
   120   0.328408E+04  -0.346884E+02   0.306008E-03  -0.346884E+02   0.965449E+00  -0.599858E-06   0.306008E-03  -0.599858E-06   0.825022E-07
   121   0.331766E+04  -0.352258E+02   0.302612E-03  -0.352258E+02   0.973915E+00  -0.621244E-06   0.302612E-03  -0.621244E-06   0.819691E-07
   122   0.335131E+04  -0.357528E+02   0.299270E-03  -0.357528E+02   0.981874E+00  -0.643823E-06   0.299270E-03  -0.643823E-06   0.814403E-07
   123   0.338502E+04  -0.362693E+02   0.295982E-03  -0.362693E+02   0.989401E+00  -0.667135E-06   0.295982E-03  -0.667135E-06   0.809158E-07
   124   0.341880E+04  -0.367722E+02   0.292748E-03  -0.367722E+02   0.996569E+00  -0.690716E-06   0.292748E-03  -0.690716E-06   0.803955E-07
   125   0.345255E+04  -0.372639E+02   0.289568E-03  -0.372639E+02   0.100331E+01  -0.714106E-06   0.289568E-03  -0.714106E-06   0.798795E-07
   126   0.348637E+04  -0.377436E+02   0.286441E-03  -0.377436E+02   0.100968E+01  -0.736843E-06   0.286441E-03  -0.736843E-06   0.793677E-07
   127   0.352018E+04  -0.382104E+02   0.283369E-03  -0.382104E+02   0.101556E+01  -0.758464E-06   0.283369E-03  -0.758464E-06   0.788601E-07
   128   0.355396E+04  -0.386637E+02   0.280351E-03  -0.386637E+02   0.102108E+01  -0.778508E-06   0.280351E-03  -0.778508E-06   0.783567E-07
   129   0.358780E+04  -0.391027E+02   0.277387E-03  -0.391027E+02   0.102609E+01  -0.796513E-06   0.277387E-03  -0.796513E-06   0.778576E-07
   130   0.362163E+04  -0.395266E+02   0.274477E-03  -0.395266E+02   0.103059E+01  -0.812018E-06   0.274477E-03  -0.812018E-06   0.773627E-07
   131   0.365543E+04  -0.399369E+02   0.271620E-03  -0.399369E+02   0.103475E+01  -0.824668E-06   0.271620E-03  -0.824668E-06   0.768719E-07
