#    L    TT             EE             BB             TE          
   378   0.187775E+04   0.205243E+02   0.351031E-01   0.413284E+02
   379   0.186422E+04   0.205861E+02   0.352047E-01   0.394664E+02
   380   0.185119E+04   0.206450E+02   0.353067E-01   0.375964E+02
   381   0.183853E+04   0.206974E+02   0.354091E-01   0.357212E+02
   382   0.182623E+04   0.207483E+02   0.355117E-01   0.338417E+02
   383   0.181445E+04   0.207950E+02   0.356148E-01   0.319564E+02
   384   0.180317E+04   0.208373E+02   0.357181E-01   0.300689E+02
   385   0.179218E+04   0.208775E+02   0.358219E-01   0.281776E+02
   386   0.178171E+04   0.209134E+02   0.359260E-01   0.262850E+02
   387   0.177159E+04   0.209449E+02   0.360305E-01   0.243908E+02
   388   0.176192E+04   0.209729E+02   0.361355E-01   0.224965E+02
   389   0.175268E+04   0.209950E+02   0.362408E-01   0.206022E+02
   390   0.174388E+04   0.210165E+02   0.363465E-01   0.187101E+02
   391   0.173552E+04   0.210330E+02   0.364526E-01   0.168186E+02
   392   0.172752E+04   0.210474E+02   0.365592E-01   0.149307E+02
   393   0.172003E+04   0.210567E+02   0.366662E-01   0.130456E+02
   394   0.171290E+04   0.210624E+02   0.367736E-01   0.111655E+02
